word	lemma	pos
de	de	PD(type=d-p,subtype=art,position=prenom)
lekkerste	lekker	AA(degree=sup,position=prenom)
was	zijn	VRB(finiteness=fin,tense=past)
.	None	PC
Toen	toen	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
dat	dat	CONJ(type=sub)
hij	hij	PD(type=pers,position=free)
dat	dat	PD(type=d-p,position=free)
ook	ook	ADV(type=reg)
wel	wel	ADV(type=reg)
wist	weten	VRB(finiteness=fin,tense=past)
schudde	schudden	VRB(finiteness=fin,tense=past)
de	de	PD(type=d-p,subtype=art,position=prenom)
jongen	jongen	NOU-C(number=sg)
zijn	zijn	PD(type=poss,position=prenom)
hoofd	hoofd	NOU-C(number=sg)
.	None	PC
We	wij	PD(type=pers,position=free)
moeten	moeten	VRB(finiteness=fin,tense=pres)
zeebaars	zeebaars	NOU-C(number=sg)
hebben	hebben	VRB(finiteness=inf)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
zijn	zijn	PD(type=poss,position=prenom)
moeder	moeder	NOU-C(number=sg)
.	None	PC
Die	die	PD(type=d-p,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
hier	hier	ADV(type=reg)
het	het	PD(type=d-p,subtype=art,position=prenom)
best	best	NOU-C(number=sg)
.	None	PC
Zij	zij	PD(type=pers,position=free)
groeide	opgroeien	VRB(finiteness=fin,tense=past)
op	opgroeien	VRB(finiteness=fin,tense=past)
aan	aan	ADP(type=pre)
deze	deze	PD(type=d-p,subtype=oth,position=prenom)
zee	zee	NOU-C(number=sg)
,	None	PC
onder	onder	ADP(type=pre)
deze	deze	PD(type=d-p,subtype=oth,position=prenom)
zon	zon	NOU-C(number=sg)
,	None	PC
zij	zij	PD(type=pers,position=free)
keert	terugkeren	VRB(finiteness=fin,tense=pres)
hier	hier	ADV(type=reg)
elke	elk	PD(type=indef,subtype=oth,position=prenom)
zomer	zomer	NOU-C(number=sg)
terug	terugkeren	VRB(finiteness=fin,tense=pres)
.	None	PC
Gisteren	gisteren	ADV(type=reg)
had	hebben	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
pasta	pasta	NOU-C(number=sg)
met	met	ADP(type=pre)
inktvis	inktvis	NOU-C(number=sg)
gemaakt	maken	VRB(finiteness=pastpart)
volgens	volgens	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
oud	oud	AA(degree=pos,position=prenom)
familierecept	familierecept	NOU-C(number=sg)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
tegen	tegen	ADP(type=pre)
hun	hun	PD(type=poss,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
dat	dat	CONJ(type=sub)
je	jij	PD(type=pers,position=free)
de	de	PD(type=d-p,subtype=art,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
eerst	eerst	ADV(type=reg)
moest	moeten	VRB(finiteness=fin,tense=past)
ontdooien	ontdooien	VRB(finiteness=inf)
maar	maar	CONJ(type=coor)
de	de	PD(type=d-p,subtype=art,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
zei	zeggen	VRB(finiteness=fin,tense=past)
dat	dat	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
familie	familie	NOU-C(number=sg)
dat	dat	PD(type=d-p,position=free)
nooit	nooit	ADV(type=reg)
deed	doen	VRB(finiteness=fin,tense=past)
,	None	PC
die	die	PD(type=d-p,position=free)
gooiden	ingooien	VRB(finiteness=fin,tense=past)
de	de	PD(type=d-p,subtype=art,position=prenom)
bevroren	bevroren	AA(degree=pos,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
zo	zo	ADV(type=reg)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
in	ingooien	VRB(finiteness=fin,tense=past)
.	None	PC
Even	even	AA(degree=pos,position=free)
later	laat	AA(degree=comp,position=free)
zag	zien	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
de	de	PD(type=d-p,subtype=art,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
ontdooien	ontdooien	VRB(finiteness=inf)
.	None	PC
Maar	maar	CONJ(type=coor)
hij	hij	PD(type=pers,position=free)
moet	moeten	VRB(finiteness=fin,tense=pres)
bevroren	bevriezen	VRB(finiteness=pastpart)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
in	in	ADP(type=post)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
.	None	PC
Terwijl	terwijl	CONJ(type=sub)
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
en	en	CONJ(type=coor)
zij	zij	PD(type=pers,position=free)
kibbelden	kibbelen	VRB(finiteness=fin,tense=past)
had	hebben	VRB(finiteness=fin,tense=past)
de	de	PD(type=d-p,subtype=art,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
de	de	PD(type=d-p,subtype=art,position=prenom)
licht	licht	AA(degree=pos,position=free)
ontdooide	ontdooid	AA(degree=pos,position=prenom)
inktvis	inktvis	NOU-C(number=sg)
in	in	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
pan	pan	NOU-C(number=sg)
gegooid	gooien	VRB(finiteness=pastpart)
.	None	PC
Haar	haar	PD(type=poss,position=prenom)
vriendin	vriendin	NOU-C(number=sg)
kookt	koken	VRB(finiteness=fin,tense=pres)
graag	graag	AA(degree=pos,position=free)
,	None	PC
haar	haar	PD(type=poss,position=prenom)
man	man	NOU-C(number=sg)
ook	ook	ADV(type=reg)
.	None	PC
Ik	ik	PD(type=pers,position=free)
ben	zijn	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
aards	aards	AA(degree=pos,position=free)
,	None	PC
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
altijd	altijd	ADV(type=reg)
als	als	CONJ(type=sub)
mensen	mens	NOU-C(number=pl)
haar	haar	PD(type=pers,position=free)
vroegen	vragen	VRB(finiteness=fin,tense=past)
of	of	CONJ(type=sub)
ze	zij	PD(type=pers,position=free)
van	van	ADP(type=pre)
koken	keuken	NOU-C(number=sg)
hield	houden	VRB(finiteness=fin,tense=past)
.	None	PC
Ik	ik	PD(type=pers,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
niet	niet	ADV(type=reg)
koken	koken	VRB(finiteness=inf)
en	en	CONJ(type=coor)
niet	niet	ADV(type=reg)
tuinieren	tuinieren	VRB(finiteness=inf)
.	None	PC
Ik	ik	PD(type=pers,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
mijn	mijn	PD(type=poss,position=prenom)
lichaam	lichaam	NOU-C(number=sg)
niet	niet	ADV(type=reg)
voelen	voelen	VRB(finiteness=inf)
,	None	PC
dacht	denken	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
.	None	PC
Maar	maar	CONJ(type=coor)
dat	dat	PD(type=d-p,position=free)
zei	zeggen	VRB(finiteness=fin,tense=past)
ze	zij	PD(type=pers,position=free)
nooit	nooit	ADV(type=reg)
.	None	PC
Het	het	PD(type=pers,position=free)
is	zijn	VRB(finiteness=fin,tense=pres)
een	een	PD(type=indef,subtype=art,position=prenom)
waterfiets	waterfiets	NOU-C(number=sg)
met	met	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
erop	erop	ADV(type=pron)
.	None	PC
Ze	zij	PD(type=pers,position=free)
trapt	trappen	VRB(finiteness=fin,tense=pres)
tot	tot	ADP(type=pre)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
Stop	stop	INT
!	None	PC
roept	roepen	VRB(finiteness=fin,tense=pres)
en	en	CONJ(type=coor)
zwijgend	zwijgen	AA(degree=pos,position=free)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
het	het	PD(type=d-p,subtype=art,position=prenom)
water	water	NOU-C(number=sg)
in	inplunzen	VRB(finiteness=fin,tense=pres)
plonst	inplunzen	VRB(finiteness=fin,tense=pres)
.	None	PC
Dan	dan	ADV(type=reg)
zwemt	zwemmen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
met	met	ADP(type=pre)
een	een	PD(type=indef,subtype=art,position=prenom)
ernstig	ernstig	AA(degree=pos,position=prenom)
gezicht	gezicht	NOU-C(number=sg)
naar	naar	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
achterkant	achterkant	NOU-C(number=sg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
fiets	fiets	NOU-C(number=sg)
,	None	PC
klimt	klimmen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
hijgend	hijgen	VRB(finiteness=prespart)
vanuit	vanuit	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
water	water	NOU-C(number=sg)
het	het	PD(type=d-p,subtype=art,position=prenom)
trapje	trapje	NOU-C(number=sg)
op	op	ADP(type=post)
en	en	CONJ(type=coor)
zegt	zeggen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
:	None	PC
Trappen	trap	NOU-C(number=pl)
.	None	PC
En	en	CONJ(type=coor)
dan	dan	ADV(type=reg)
trapt	trappen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
weer	weer	ADV(type=reg)
.	None	PC
Totdat	totdat	CONJ(type=sub)
hij	hij	PD(type=pers,position=free)
Stop	stoppen	VRB(finiteness=fin,tense=pres)
!	None	PC
roept	roepen	VRB(finiteness=fin,tense=pres)
.	None	PC
En	en	CONJ(type=coor)
zo	zo	ADV(type=reg)
gaan	doorgaan	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
een	een	PD(type=indef,subtype=art,position=prenom)
tijdje	tijdje	NOU-C(number=sg)
door	doorgaan	VRB(finiteness=fin,tense=pres)
.	None	PC
Dit	dit	PD(type=d-p,position=free)
kan	kunnen	VRB(finiteness=fin,tense=pres)
ik	ik	PD(type=pers,position=free)
,	None	PC
denkt	denken	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
.	None	PC
Dit	dit	PD(type=d-p,position=free)
loopt	lopen	VRB(finiteness=fin,tense=pres)
gesmeerd	smeren	VRB(finiteness=pastpart)
.	None	PC
Vlak	vlak	AA(degree=pos,position=free)
voor	voor	CONJ(type=sub)
ze	zij	PD(type=pers,position=free)
de	de	PD(type=d-p,subtype=art,position=prenom)
fiets	fiets	NOU-C(number=sg)
weer	weer	ADV(type=reg)
bij	bij	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
verhuurder	verhuurder	NOU-C(number=sg)
wil	willen	VRB(finiteness=fin,tense=pres)
inleveren	inleveren	VRB(finiteness=inf)
zegt	zeggen	VRB(finiteness=fin,tense=pres)
haar	haar	PD(type=poss,position=prenom)
zoon	zoon	NOU-C(number=sg)
:	None	PC
Maar	maar	CONJ(type=coor)
jij	jij	PD(type=pers,position=free)
bent	zijn	VRB(finiteness=fin,tense=pres)
nog	nog	ADV(type=reg)
niet	niet	ADV(type=reg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
geweest	zijn	VRB(finiteness=pastpart)
.	None	PC
Hij	hij	PD(type=pers,position=free)
staat	staan	VRB(finiteness=fin,tense=pres)
op	op	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
trapje	trapje	NOU-C(number=sg)
van	van	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
glijbaan	glijbaan	NOU-C(number=sg)
,	None	PC
zij	zij	PD(type=pers,position=free)
staat	staan	VRB(finiteness=fin,tense=pres)
achter	achter	ADP(type=pre)
hem	hij	PD(type=pers,position=free)
in	in	ADP(type=pre)
het	het	PD(type=d-p,subtype=art,position=prenom)
water	water	NOU-C(number=sg)
.	None	PC
Ok	ook	ADV(type=reg)
,	None	PC
zegt	zeggen	VRB(finiteness=fin,tense=pres)
ze	zij	PD(type=pers,position=free)
,	None	PC
maar	maar	CONJ(type=coor)
niet	niet	ADV(type=reg)
lachen	lachen	VRB(finiteness=inf)
als	als	CONJ(type=sub)
mijn	mijn	PD(type=poss,position=prenom)
billen	bil	NOU-C(number=pl)
niet	niet	ADV(type=reg)
passen	passen	VRB(finiteness=fin,tense=pres)
.	None	PC
Blij	blij	AA(degree=pos,position=free)
klimt	klimmen	VRB(finiteness=fin,tense=pres)
hij	hij	PD(type=pers,position=free)
van	vanaf	ADP(type=circ)
het	het	PD(type=d-p,subtype=art,position=prenom)
trapje	trapje	NOU-C(number=sg)
af	vanaffen	VRB(finiteness=fin,tense=pres)
,	None	PC
maar	maar	CONJ(type=coor)
hij	hij	PD(type=pers,position=free)
glijdt	uitglijden	VRB(finiteness=fin,tense=pres)
uit	uitglijden	VRB(finiteness=fin,tense=pres)
op	op	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
gladde	glad	AA(degree=pos,position=prenom)
plastic	plastigtrede	NOU-C(number=pl)
treden	plastigtrede	NOU-C(number=pl)
dus	dus	ADV(type=reg)
hij	hij	PD(type=pers,position=free)
valt	vallen	VRB(finiteness=fin,tense=pres)
en	en	CONJ(type=coor)
blijft	blijven	VRB(finiteness=fin,tense=pres)
met	met	ADP(type=pre)
zijn	zijn	PD(type=poss,position=prenom)
vinger	vinger	NOU-C(number=sg)
haken	haken	VRB(finiteness=inf)
tussen	tussen	ADP(type=pre)
de	de	PD(type=d-p,subtype=art,position=prenom)
trap	trap	NOU-C(number=sg)
en	en	CONJ(type=coor)
de	de	PD(type=d-p,subtype=art,position=prenom)
trapleuning	trapleuning	NOU-C(number=sg)
,	None	PC
een	een	PD(type=indef,subtype=art,position=prenom)
metalen	metalen	AA(degree=pos,position=prenom)
buis	buis	NOU-C(number=sg)
.	None	PC
Hij	hij	PD(type=pers,position=free)
schreeuwt	schreeuwen	VRB(finiteness=fin,tense=pres)
terwijl	terwijl	CONJ(type=sub)
ze	zij	PD(type=pers,position=free)
probeert	proberen	VRB(finiteness=fin,tense=pres)
zijn	zijn	PD(type=poss,position=prenom)
vinger	vinger	NOU-C(number=sg)
los	loskrijgen	VRB(finiteness=inf)
te	te	ADP(type=pre)
krijgen	loskrijgen	VRB(finiteness=inf)
,	None	PC
maar	maar	CONJ(type=coor)
er	er	ADV(type=reg)
is	zijn	VRB(finiteness=fin,tense=pres)
geen	geen	PD(type=indef,subtype=oth,position=prenom)
ruimte	ruimte	NOU-C(number=sg)
,	None	PC
de	de	PD(type=d-p,subtype=art,position=prenom)
buis	buis	NOU-C(number=sg)
drukt	platdrukken	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
vinger	vinger	NOU-C(number=sg)
plat	platdrukken	VRB(finiteness=fin,tense=pres)
.	None	PC
Ze	zij	PD(type=pers,position=free)
duwt	omhoogduwen	VRB(finiteness=fin,tense=pres)
de	de	PD(type=d-p,subtype=art,position=prenom)
vinger	vinger	NOU-C(number=sg)
omhoog	omhoogduwen	VRB(finiteness=fin,tense=pres)
,	None	PC
steeds	steeds	ADV(type=reg)
opnieuw	opnieuw	ADV(type=reg)
,	None	PC
maar	maar	CONJ(type=coor)
er	erin	ADV(type=pron)
komt	komen	VRB(finiteness=fin,tense=pres)
